RespID,ppl_like_you,President,Congress,Supreme_Court,CDC,Election_officials,Intelligence,Media,Police,USPS,age,education,race,gender,income_cat,voter_cat
470225,2.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,66,Some college,Black,Female,Less than $40k,sporadic
470228,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,60,Some college,White,Female,Less than $40k,sporadic
470229,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,73,High school or less,White,Female,Less than $40k,always
470230,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,64,Some college,White,Male,$75-125k,always
470232,3.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,60,College,White,Male,$125k or more,rarely/never
470233,2.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,50,Some college,White,Male,$125k or more,rarely/never
470235,3.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,31,Some college,Other/Mixed,Female,$75-125k,sporadic
470237,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,56,High school or less,White,Female,Less than $40k,rarely/never
470238,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,53,High school or less,White,Female,Less than $40k,rarely/never
470239,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,44,College,Other/Mixed,Female,$125k or more,sporadic
470241,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,43,Some college,White,Female,Less than $40k,rarely/never
470242,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,54,Some college,White,Male,$75-125k,always
470243,4.0,4.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,78,High school or less,White,Female,Less than $40k,always
470246,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,65,Some college,Hispanic,Female,Less than $40k,sporadic
470247,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,68,Some college,White,Male,$40-75k,always
470248,2.0,1.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,50,High school or less,Other/Mixed,Female,$75-125k,sporadic
470250,3.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,83,College,Black,Female,Less than $40k,always
470251,,1.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,1.0,60,High school or less,White,Female,Less than $40k,sporadic
470255,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,58,Some college,Hispanic,Female,$75-125k,sporadic
480273,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,87,High school or less,White,Female,$40-75k,always
470256,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,42,Some college,White,Female,$125k or more,always
470257,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,73,College,White,Female,$75-125k,always
470259,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,82,College,White,Male,$75-125k,always
470260,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,47,High school or less,White,Male,$40-75k,sporadic
470262,3.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,52,College,White,Male,$75-125k,always
470266,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,60,College,White,Female,$125k or more,always
470267,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,35,College,White,Female,$75-125k,sporadic
470268,3.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,65,High school or less,Hispanic,Female,Less than $40k,sporadic
470270,3.0,4.0,3.0,3.0,1.0,3.0,3.0,,2.0,1.0,73,College,White,Female,$75-125k,always
470271,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,31,College,White,Female,$125k or more,sporadic
470272,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,69,College,Black,Female,$40-75k,sporadic
470273,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,76,College,White,Female,$125k or more,sporadic
480292,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,31,College,White,Male,Less than $40k,always
470274,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,43,High school or less,Hispanic,Female,$75-125k,rarely/never
470275,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,54,College,White,Male,$125k or more,always
470276,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,78,High school or less,White,Female,Less than $40k,always
480296,3.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,29,College,White,Female,$125k or more,rarely/never
470277,3.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,66,High school or less,White,Female,$40-75k,sporadic
470278,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,69,College,White,Male,Less than $40k,always
470279,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,78,Some college,Black,Female,$40-75k,always
470282,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,29,Some college,Black,Male,$40-75k,rarely/never
470283,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,41,College,Black,Male,$75-125k,rarely/never
480304,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,67,High school or less,Hispanic,Female,$75-125k,rarely/never
470284,2.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,85,High school or less,White,Female,$125k or more,always
470285,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,44,College,White,Female,$125k or more,sporadic
470286,1.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,29,College,White,Male,$125k or more,sporadic
470289,3.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,83,Some college,White,Female,Less than $40k,sporadic
470290,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,32,Some college,White,Female,$75-125k,sporadic
470291,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,72,Some college,White,Male,Less than $40k,always
470292,3.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,55,Some college,White,Male,$125k or more,sporadic
470293,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,57,College,White,Female,$75-125k,always
470294,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,73,College,White,Male,$125k or more,sporadic
470301,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,76,Some college,White,Male,$40-75k,sporadic
470305,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,22,High school or less,White,Female,$40-75k,always
470309,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48,High school or less,Other/Mixed,Male,Less than $40k,always
470310,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,61,Some college,Black,Male,$75-125k,sporadic
470311,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,29,College,White,Female,$75-125k,always
470312,3.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,51,High school or less,Black,Male,$40-75k,sporadic
470313,3.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,80,High school or less,White,Female,Less than $40k,always
470314,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,66,High school or less,White,Female,$40-75k,always
480336,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,53,High school or less,White,Female,$40-75k,rarely/never
480339,2.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,62,High school or less,White,Female,$125k or more,always
470317,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,59,College,White,Male,$125k or more,sporadic
470319,2.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,68,Some college,White,Male,$75-125k,rarely/never
470320,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,56,Some college,White,Male,$125k or more,sporadic
470321,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,82,College,White,Female,Less than $40k,sporadic
470322,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,49,High school or less,White,Male,$40-75k,sporadic
